"code","descriptor","id"
"LDS","L.D. Saints","052FE585A48011E592E000FF59FBB323"
"CRU","Crusader","0EEEE7B6A48411E592E000FF59FBB323"
"MET","Methodist","14D98381A47A11E592E000FF59FBB323"
"MUS","Muslim","17A38A25A48611E592E000FF59FBB323"
"RC","Roman Catholic","1A95F32E674811E596ECDA40B3C0AA12"
"CH","Christian","2975665F674811E596ECDA40B3C0AA12"
"INC","Iglesia Ni Cristo","2D6A8A3A674811E596ECDA40B3C0AA12"
"AL","Alliance","45942FF9A47A11E592E000FF59FBB323"
"JW","Jehova's Witness","465B9151A30E11E592E000FF59FBB323"
"PRO","Protestant","56B89DF0A3E811E592E000FF59FBB323"
"BA","Born Again","71FC2C52A3E311E592E000FF59FBB323"
"AG","Aglipayin","9ED09932A3D511E592E000FF59FBB323"
"SDA","Seventh Day Adventist","A87C6E4EA3DE11E592E000FF59FBB323"
"BAP","Baptist","AF2E222CA3DE11E592E000FF59FBB323"
